,Homo-naive,Homo-activated
Avpi1,0.2991182748563135,0.8864113183446525
Marveld1,1.2288477982801884,0.28508659716735624
Zfyve27,1.0240398319001567,0.8892467296766393
Sfrp5,1e-323,1e-323
R3hcc1l,0.6144238991400942,0.6012975919374708
Gm16541,1e-323,0.044724527863001115
Loxl4,1e-323,1e-323
Pyroxd2,1e-323,1e-323
Hps1,1.4336557646602197,0.49196980649301236
Gm16244,1e-323,1e-323
Gm47936,1e-323,0.044724527863001115
Cnnm1,1e-323,0.13417358358900333
Got1,1.0240398319001567,5.660237254544914
Gm34922,1e-323,1e-323
Slc25a28,1.69105508065011,0.9357742626505435
BC037704,1e-323,1e-323
Entpd7,0.20480796638003138,0.4587836916842045
Cox15,0.40961593276006275,0.2236226393150056
Cutc,1.4336557646602197,0.4587836916842045
Abcc2,1e-323,1e-323
Dnmbp,0.20480796638003138,0.14553786029437668
Gm50217,1e-323,1e-323
Erlin1,1e-323,0.31307169504100785
Chuk,1.843271697420282,2.1478554891136765
Cwf19l1,0.40961593276006275,0.4472452786300111
Bloc1s2,2.3348648397253777,6.9290524885904805
Scd3,1e-323,1e-323
Gm50323,1e-323,1e-323
Scd2,1e-323,0.24292747663282682
Gm50334,1e-323,1e-323
Scd4,1e-323,1e-323
Scd1,1e-323,1e-323
Wnt8b,1e-323,1e-323
Sec31b,1e-323,1e-323
Ndufb8,8.417339275847082,9.732902544903848
Hif1an,1.638463731040251,1.1845386931579622
Slf2,1.2288477982801884,1.0293100859654092
4930414N06Rik,1e-323,1e-323
Sema4g,1e-323,1e-323
Mrpl43,5.259567246930586,5.544413912865896
Twnk,0.40961593276006275,1.1311068984581036
Lzts2,0.20480796638003138,1e-323
Pdzd7,1e-323,1e-323
Sfxn3,1.4336557646602197,0.31307169504100785
Gm35867,0.20480796638003138,1e-323
Kazald1,1e-323,0.08944905572600223
Gm28578,1e-323,1e-323
Btrc,1e-323,0.5074688361977442
Poll,0.6144238991400942,0.31307169504100785
Gm17018,1.69105508065011,1.3757998303391719
Fbxw4,0.6144238991400942,0.4587836916842045
Fgf8,1e-323,1e-323
Npm3,5.781836356007797,14.924324606595604
Gm15491,0.20480796638003138,0.40252075076701
Oga,4.915391193120754,2.7475240135667547
Kcnip2,1e-323,1e-323
Armh3,0.40961593276006275,0.17889811145200446
Gm50196,0.20480796638003138,1e-323
4930505N22Rik,1e-323,1e-323
Hps6,0.20480796638003138,0.2236226393150056
Ldb1,5.717378752105416,1.4432578843798656
Pprc1,0.8192318655201255,1.6611415299462342
Nolc1,6.114534037189506,15.310506697639026
Elovl3,1e-323,1e-323
