,remain_iter,pie_delta,loglik_delta,alpha_l2norm_delta,loglik,alpha_sum
381,1619,0.0,0.009669,0.038512,-10474908.96687,47877.657518
382,1618,0.0,0.009488,0.037806,-10474908.957382,47878.379592
383,1617,0.0,0.009311,0.037112,-10474908.948072,47879.088423
384,1616,0.0,0.009137,0.036432,-10474908.938935,47879.784253
385,1615,0.0,0.008966,0.035763,-10474908.92997,47880.467322
386,1614,0.0,0.008798,0.035107,-10474908.921171,47881.137864
387,1613,0.0,0.008634,0.034464,-10474908.912537,47881.796108
388,1612,0.0,0.008473,0.033832,-10474908.904065,47882.442279
389,1611,0.0,0.008315,0.033211,-10474908.89575,47883.076601
390,1610,0.0,0.008159,0.032602,-10474908.887591,47883.699289
391,1609,0.0,0.008007,0.032004,-10474908.879584,47884.310558
392,1608,0.0,0.007858,0.031417,-10474908.871726,47884.910616
393,1607,0.0,0.007711,0.030841,-10474908.864014,47885.49967
394,1606,0.0,0.007568,0.030275,-10474908.856447,47886.077922
395,1605,0.0,0.007427,0.02972,-10474908.84902,47886.645569
396,1604,0.0,0.007288,0.029175,-10474908.841732,47887.202806
397,1603,0.0,0.007153,0.02864,-10474908.834579,47887.749824
398,1602,0.0,0.007019,0.028115,-10474908.82756,47888.286811
399,1601,0.0,0.006889,0.027599,-10474908.820671,47888.813951
400,1600,0.0,0.006761,0.027093,-10474908.81391,47889.331423
401,1599,0.0,0.006635,0.026596,-10474908.807275,47889.839407
402,1598,0.0,0.006512,0.026109,-10474908.800764,47890.338074
403,1597,0.0,0.006391,0.02563,-10474908.794373,47890.827598
404,1596,0.0,0.006272,0.02516,-10474908.788102,47891.308144
405,1595,0.0,0.006155,0.024698,-10474908.781946,47891.779879
406,1594,0.0,0.006041,0.024245,-10474908.775906,47892.242963
407,1593,0.0,0.005929,0.023801,-10474908.769977,47892.697555
408,1592,0.0,0.005819,0.023364,-10474908.764158,47893.143811
409,1591,0.0,0.005711,0.022936,-10474908.758448,47893.581884
410,1590,0.0,0.005605,0.022515,-10474908.752843,47894.011925
411,1589,0.0,0.005501,0.022103,-10474908.747343,47894.434079
412,1588,0.0,0.005399,0.021697,-10474908.741944,47894.848492
413,1587,0.0,0.005298,0.021299,-10474908.736646,47895.255307
414,1586,0.0,0.0052,0.020909,-10474908.731446,47895.654662
